date,01,02,04,05,06,08,09,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56,60,66,69,72,78,US
2020-02-29,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10
2020-03-07,0,0,6,0,162,16,0,0,0,14,10,2,0,8,2,0,0,2,0,0,6,140,0,2,0,2,0,2,4,4,8,0,152,4,0,0,2,10,4,6,4,0,2,16,2,0,0,190,0,0,0,0,0,0,0,0,391
2020-03-14,30,2,16,15,481,190,46,12,0,126,136,6,4,116,30,34,16,30,150,4,41,446,71,40,12,12,9,34,36,10,130,26,937,60,2,52,6,60,90,34,34,16,62,104,15,10,74,1041,0,54,4,0,0,0,0,0,2535
2020-03-21,268,30,184,111,2123,743,342,78,98,1385,927,64,80,1375,224,104,98,119,1367,133,339,3421,1179,226,226,210,44,40,272,108,2376,84,19731,510,54,442,98,202,704,80,310,12,544,1001,218,88,240,2195,24,510,42,0,15,0,21,6,23104
2020-03-28,1304,152,1338,660,12236,3011,2660,338,206,6001,3429,222,384,5471,2210,458,418,459,5104,282,1604,9775,8468,614,1088,1636,205,116,847,252,17256,306,83980,1636,132,2318,648,684,4892,251,972,108,2105,3789,922,317,1166,4620,168,1546,118,0,40,0,79,16,101361
2020-04-04,1852,160,2492,647,10640,13512,7263,758,598,15547,7573,398,1576,13682,5440,978,864,1195,18340,481,4260,16572,19417,846,1584,3223,272,449,2291,706,44543,594,138610,3060,226,4666,1566,840,14694,1000,2514,288,3901,5309,1626,496,3334,5951,372,1950,210,0,38,8,352,18,196548
2020-04-11,3238,178,2748,1004,17250,5470,12253,1759,876,13913,10846,232,748,17619,6964,1446,1154,1196,15013,329,9138,24259,19639,1122,2374,3529,224,757,1858,690,51065,1172,141114,3800,202,5022,1416,944,23692,2678,2588,828,3607,8918,1526,500,5340,6009,590,2366,148,0,40,3,336,11,221348
2020-04-18,2884,116,2662,1009,18366,5808,12011,2101,888,13995,11382,218,518,19961,6412,2005,1092,2340,7129,464,9264,30526,14571,1568,2664,2544,98,1040,1910,914,46714,1414,104214,3978,552,7944,1086,946,19266,3787,2074,1832,3327,7824,1361,185,5952,3088,416,1972,96,0,3,3,330,2,198151
2020-04-25,2972,50,3124,2174,23580,6656,14069,2103,1033,10696,10542,61,464,25044,7516,5154,2628,2431,5858,237,10880,29678,13105,2469,3488,2728,38,3000,1844,901,48372,1724,87058,4809,568,10730,1566,818,19578,5224,2010,1210,5051,9766,1901,85,8626,3393,450,2976,364,0,5,0,-245,2,206176
