origin,destination,total_flow
23,26,853295.0
23,36,1870051.0
23,44,340.0
23,16,543.0
23,55,77590.0
23,9,23974.0
23,46,4561.0
23,56,2727.0
23,34,77511.0
23,42,385991.0
23,53,87.0
23,19,403.0
23,39,8507.0
23,10,5558.0
23,24,10845.0
23,31,4598.0
23,11,1928426.0
23,18,35565.0
23,17,215.0
23,32,788.0
23,54,1429.0
23,38,7248.0
23,49,418.0
23,51,10399.0
23,8,1037.0
23,6,40771.0
23,29,65205.0
23,21,130.0
23,20,22843.0
23,37,8089.0
23,47,1584.0
23,45,21709.0
23,30,49918.0
23,40,345.0
23,5,71982.0
23,4,226.0
23,35,822948.0
23,13,579926.0
23,1,1364.0
23,28,164.0
23,48,21839.0
23,22,4268.0
23,12,2656.0
23,50,134485.0
23,2,5490.0
23,15,147.0
23,33,3456.0
23,27,2114.0
23,25,492.0
23,41,487.0
26,23,853295.0
26,36,4986580.0
26,44,3695.0
26,16,6475.0
26,55,260351.0
26,9,188163.0
26,46,17099.0
26,56,15415.0
26,34,229843.0
26,42,284305.0
26,53,1425.0
26,19,5913.0
26,39,195969.0
26,10,48880.0
26,24,67916.0
26,31,27187.0
26,11,260476.0
26,18,102035.0
26,17,3627.0
26,32,8406.0
26,54,13532.0
26,38,39411.0
26,49,6371.0
26,51,125926.0
26,8,9921.0
26,6,222990.0
26,29,1275208.0
26,21,2547.0
26,20,288781.0
26,37,45393.0
26,47,12053.0
26,45,216281.0
26,30,110698.0
26,40,5886.0
26,5,1098831.0
26,4,3409.0
26,35,504537.0
26,13,805465.0
26,1,12818.0
26,28,2709.0
26,48,396518.0
26,22,22999.0
26,12,67793.0
26,50,462246.0
26,2,31921.0
26,15,2326.0
26,33,26732.0
26,27,29227.0
26,25,19981.0
26,41,19468.0
36,23,1870051.0
36,26,4986580.0
36,44,1139.0
36,16,2131.0
36,55,129201.0
36,9,75131.0
36,46,8618.0
36,56,6584.0
36,34,108511.0
36,42,71789.0
36,53,391.0
36,19,1828.0
36,39,48257.0
36,10,20882.0
36,24,34939.0
36,31,9882.0
36,11,115264.0
36,18,37770.0
36,17,1044.0
36,32,2991.0
36,54,4802.0
36,38,16268.0
36,49,2055.0
36,51,51656.0
36,8,3153.0
36,6,137416.0
36,29,716792.0
36,21,720.0
36,20,115504.0
36,37,16200.0
36,47,4925.0
36,45,89028.0
36,30,30429.0
36,40,1983.0
36,5,2201594.0
36,4,990.0
36,35,1355710.0
36,13,466129.0
36,1,4488.0
36,28,784.0
36,48,161681.0
36,22,9894.0
36,12,22072.0
36,50,258360.0
36,2,16401.0
36,15,674.0
36,33,10272.0
36,27,10774.0
36,25,4635.0
36,41,3905.0
44,23,340.0
44,26,3695.0
44,36,1139.0
44,16,492.0
44,55,1780.0
44,9,579.0
44,46,261.0
44,56,300.0
44,34,264.0
44,42,426.0
44,53,146.0
44,19,30.0
44,39,348.0
44,10,367.0
44,24,941.0
44,31,586.0
44,11,188.0
44,18,606.0
44,17,234.0
44,32,321.0
44,54,1730.0
44,38,2737.0
44,49,28.0
44,51,650.0
44,8,523.0
44,6,2727.0
44,29,1008.0
44,21,67.0
44,20,1177.0
44,37,417.0
44,47,2485.0
44,45,1315.0
44,30,261.0
44,40,16.0
44,5,276.0
44,4,61.0
44,35,550.0
44,13,10040.0
44,1,884.0
44,28,7.0
44,48,644.0
44,22,3304.0
44,12,62.0
44,50,716785.0
44,2,541.0
44,15,134.0
44,33,1236.0
44,27,104.0
44,25,17.0
44,41,19.0
16,23,543.0
16,26,6475.0
16,36,2131.0
16,44,492.0
16,55,3278.0
16,9,1003.0
16,46,839.0
16,56,980.0
16,34,474.0
16,42,499.0
16,53,1717.0
16,19,48.0
16,39,630.0
16,10,638.0
16,24,1926.0
16,31,2815.0
16,11,264.0
16,18,1133.0
16,17,219621.0
