origin,destination,flow,time
USA.15.50_1,USA.15.30_1,15241.0,0
USA.15.50_1,USA.15.32_1,28355.0,0
USA.15.50_1,USA.15.41_1,16575.0,0
USA.15.50_1,USA.15.29_1,28226.0,0
USA.15.50_1,USA.15.6_1,3471.0,0
USA.15.50_1,USA.15.74_1,2174.0,0
USA.15.50_1,USA.15.56_1,3312.0,0
USA.15.50_1,USA.15.49_1,5231.0,0
USA.15.50_1,USA.15.81_1,584.0,0
USA.15.50_1,USA.15.71_1,634.0,0
USA.15.50_1,USA.15.68_1,1425.0,0
USA.15.50_1,USA.15.12_1,1169.0,0
USA.15.50_1,USA.15.33_1,1725.0,0
USA.15.50_1,USA.15.7_1,545.0,0
USA.15.50_1,USA.15.3_1,2660.0,0
USA.15.50_1,USA.15.55_1,1163.0,0
USA.15.50_1,USA.15.17_1,778.0,0
USA.15.50_1,USA.15.54_1,4328.0,0
USA.15.50_1,USA.15.34_1,2061.0,0
USA.15.50_1,USA.15.61_1,492.0,0
USA.15.50_1,USA.15.18_1,2638.0,0
USA.15.50_1,USA.15.21_1,525.0,0
USA.15.50_1,USA.15.62_1,360.0,0
USA.15.50_1,USA.15.27_1,1398.0,0
USA.15.50_1,USA.15.80_1,3769.0,0
USA.15.50_1,USA.15.11_1,438.0,0
USA.15.50_1,USA.15.8_1,339.0,0
USA.15.50_1,USA.15.90_1,1178.0,0
USA.15.50_1,USA.15.40_1,461.0,0
USA.15.50_1,USA.15.36_1,654.0,0
USA.15.50_1,USA.15.24_1,342.0,0
USA.15.50_1,USA.15.23_1,259.0,0
USA.15.50_1,USA.15.5_1,158.0,0
USA.15.50_1,USA.15.69_1,398.0,0
USA.15.50_1,USA.15.82_1,108.0,0
USA.15.50_1,USA.15.70_1,473.0,0
USA.15.50_1,USA.15.48_1,647.0,0
USA.15.50_1,USA.15.28_1,434.0,0
USA.15.50_1,USA.15.53_1,540.0,0
USA.15.50_1,USA.15.9_1,461.0,0
USA.15.50_1,USA.15.84_1,227.0,0
USA.15.50_1,USA.15.85_1,1413.0,0
USA.15.50_1,USA.15.38_1,267.0,0
USA.15.50_1,USA.15.87_1,103.0,0
USA.15.50_1,USA.15.86_1,379.0,0
USA.15.50_1,USA.15.16_1,634.0,0
USA.15.50_1,USA.15.92_1,241.0,0
USA.15.50_1,USA.15.39_1,387.0,0
USA.15.50_1,USA.15.73_1,296.0,0
USA.15.50_1,USA.36.69_1,497.0,0
USA.15.50_1,USA.15.35_1,432.0,0
USA.15.50_1,USA.15.91_1,298.0,0
USA.15.50_1,USA.15.89_1,328.0,0
USA.15.50_1,USA.15.52_1,125.0,0
USA.15.50_1,USA.15.78_1,209.0,0
USA.15.50_1,USA.36.19_1,539.0,0
USA.15.50_1,USA.15.4_1,86.0,0
USA.15.50_1,USA.15.59_1,68.0,0
USA.15.50_1,USA.14.23_1,184.0,0
USA.15.50_1,USA.36.9_1,3758.0,0
USA.15.50_1,USA.15.60_1,148.0,0
USA.15.50_1,USA.15.25_1,174.0,0
USA.15.50_1,USA.15.79_1,109.0,0
USA.15.50_1,USA.14.93_1,589.0,0
USA.15.50_1,USA.15.14_1,269.0,0
USA.15.50_1,USA.18.112_1,75.0,0
USA.15.50_1,USA.15.1_1,282.0,0
USA.15.50_1,USA.15.67_1,97.0,0
USA.15.50_1,USA.15.10_1,876.0,0
USA.15.50_1,USA.14.12_1,112.0,0
USA.15.50_1,USA.18.8_1,1086.0,0
USA.15.50_1,USA.36.31_1,4445.0,0
USA.15.50_1,USA.18.21_1,52.0,0
USA.15.50_1,USA.36.55_1,213.0,0
USA.15.50_1,USA.36.58_1,2244.0,0
USA.15.50_1,USA.18.39_1,45.0,0
USA.15.50_1,USA.15.93_1,159.0,0
USA.15.50_1,USA.15.37_1,138.0,0
USA.15.50_1,USA.15.42_1,143.0,0
USA.15.50_1,USA.14.17_1,73.0,0
USA.15.50_1,USA.15.22_1,313.0,0
USA.15.50_1,USA.15.43_1,322.0,0
USA.15.50_1,USA.18.93_1,328.0,0
USA.15.50_1,USA.36.56_1,347.0,0
USA.15.50_1,USA.18.59_1,607.0,0
USA.15.50_1,USA.15.13_1,41.0,0
USA.15.50_1,USA.15.57_1,51.0,0
USA.15.50_1,USA.15.19_1,133.0,0
USA.15.50_1,USA.15.2_1,1212.0,0
USA.15.50_1,USA.15.51_1,150.0,0
USA.15.50_1,USA.15.76_1,64.0,0
