origin,destination,distance
1,2,5374.15
1,4,2335.53
1,5,600.54
1,6,2998.11
1,8,1801.87
1,9,1546.44
1,10,1226.65
1,11,1094.6
1,12,756.97
1,13,270.14
1,15,7010.26
1,16,2753.35
1,17,934.55
1,18,794.75
1,19,1136.85
1,20,1062.55
1,21,553.57
1,22,515.61
1,23,1929.73
1,24,1123.89
1,25,1699.99
1,26,1118.62
1,27,1475.83
1,28,267.75
1,29,780.05
1,30,2578.75
1,31,1297.21
1,32,2707.88
1,33,1746.91
1,34,1373.48
1,35,1816.65
1,36,1428.39
1,37,708.84
1,38,1920.01
1,39,898.23
1,40,971.95
1,41,3335.15
1,42,1201.13
1,44,1662.75
1,45,545.81
1,46,1613.57
1,47,314.63
1,48,1025.41
1,49,2383.6
1,50,1725.37
1,51,976.06
1,53,3328.89
1,54,847.21
1,55,1208.28
1,56,2071.04
1,72,2614.35
2,1,5374.15
2,4,4084.82
2,5,4860.68
2,6,3556.48
2,8,3825.95
2,9,5353.44
2,10,5402.53
2,11,5362.41
2,12,6125.69
2,13,5489.97
2,15,4534.2
2,16,2911.89
2,17,4549.8
2,18,4763.61
2,19,4248.14
2,20,4371.65
2,21,5018.61
2,22,5340.91
2,23,5274.41
2,24,5353.66
2,25,5364.88
2,26,4639.04
2,27,3948.31
2,28,5266.24
2,29,4595.55
2,30,2887.64
2,31,4092.87
2,32,3540.39
2,33,5283.81
2,34,5364.66
2,35,4225.12
2,36,5265.94
2,37,5521.56
2,38,3462.26
2,39,4922.02
2,40,4607.87
2,41,2524.69
2,42,5230.6
2,44,5404.71
2,45,5588.36
2,46,3763.03
2,47,5141.67
2,48,5020.28
2,49,3415.86
2,50,5131.75
2,51,5416.37
2,53,2334.57
2,54,5176.08
2,55,4310.58
2,56,3454.41
2,72,7847.53
4,1,2335.53
4,2,4084.82
4,5,1772.04
4,6,724.69
4,8,910.64
4,9,3532.1
4,10,3301.45
4,11,3174.65
4,12,2951.71
4,13,2593.67
4,15,4675.01
4,16,1241.74
4,17,2251.41
4,18,2397.08
4,19,1908.93
4,20,1503.86
4,21,2451.4
4,22,1945.57
4,23,3801.88
4,24,3193.15
4,25,3661.78
4,26,2628.06
4,27,2046.62
4,28,2081.98
4,29,1854.8
4,30,1491.23
4,31,1558.66
4,32,562.89
4,33,3657.97
4,34,3398.89
4,35,530.37
4,36,3389.36
4,37,2953.07
4,38,1873.93
4,39,2691.94
4,40,1399.71
4,41,1565.99
4,42,3183.82
4,44,3651.75
4,45,2850.56
4,46,1628.52
4,47,2350.38
4,48,1397.68
4,49,780.87
4,50,3556.98
4,51,3110.04
4,53,1757.01
4,54,2857.54
4,55,2287.82
4,56,1122.68
4,72,4817.78
5,1,600.54
5,2,4860.68
5,4,1772.04
5,6,2411.29
5,8,1202.97
5,9,1862.58
5,10,1585.96
5,11,1452.44
5,12,1331.19
5,13,834.98
5,15,6436.84
5,16,2163.72
5,17,778.83
5,18,791.51
5,19,750.53
5,20,491.73
5,21,728.24
5,22,514.45
5,23,2198.31
5,24,1475.59
5,25,2008.15
5,26,1124.99
5,27,1114.47
5,28,412.12
5,29,362.48
5,30,2016.12
5,31,772.45
5,32,2114.25
5,33,2029.0
5,34,1706.83
5,35,1244.11
5,36,1725.2
5,37,1183.28
5,38,1462.72
5,39,1048.03
5,40,378.44
5,41,2741.83
5,42,1500.04
5,44,1984.94
5,45,1080.79
5,46,1112.99
5,47,582.21
5,48,642.84
5,49,1783.47
5,50,1964.25
5,51,1367.71
5,53,2748.07
5,54,1142.79
5,55,1000.01
5,56,1487.72
5,72,3209.69
6,1,2998.11
6,2,3556.48
6,4,724.69
6,5,2411.29
6,8,1327.31
6,9,4054.19
6,10,3858.51
6,11,3739.33
6,12,3649.81
6,13,3245.55
6,15,4034.36
6,16,1033.3
6,17,2762.98
6,18,2938.68
6,19,2384.38
6,20,2061.14
6,21,3038.07
6,22,2644.45
6,23,4279.13
6,24,3754.18
6,25,4171.01
6,26,3116.27
6,27,2425.57
